Year,Month,Day,CAN,YAK,TAY,FIN,SWE,NOR,ALT,LOT,PAK
1905,7,16,3.2,,3.3,3.0,2.2,2.9,3.8,3.6000001,4.0
1905,8,16,,,1.8000001,1.8000001,1.5,1.9,3.0,2.5,3.6000001
1905,9,16,0.8,,,,,1.1,,1.7,
1905,10,16,0.2,,,,0.4,0.4,1.0,1.0,
1905,11,16,,,,0.1,0.1,0.2,,,
1905,12,16,,,,,,,,0.6,
1906,1,16,,,,0.1,0.1,0.1,,,0.6
1906,2,15,,,,0.2,0.2,0.3,,,
1906,3,16,,,,,,,0.90000004,1.2,1.5
1906,4,16,,,0.6,1.1,,1.3000001,1.9,1.7,
1906,5,16,,1.6,1.4,,1.5,2.4,,2.1000001,
1906,6,16,3.7,2.5,2.8,,,,3.9,2.8,
1906,7,16,3.5,2.7,,3.0,,2.9,,,4.2000003
1906,8,16,2.3,,2.7,1.7,1.5,,3.1000001,2.9,
1906,9,16,1.2,0.90000004,,,,1.1,2.0,1.9,
1906,10,16,,,,,0.4,0.4,,,
1906,11,16,0.1,,,0.1,0.1,,,0.7,0.90000004
1906,12,16,,,,0.1,0.2,0.1,,,0.5
1907,1,16,,,,0.1,0.1,,,0.8,
1907,2,15,0.0,,,0.2,0.2,0.2,,,0.90000004
1907,3,16,0.3,,,0.5,,0.7,,1.2,1.5
1907,4,16,,,,,0.7,1.1,1.9,1.4,
1907,5,16,1.8000001,1.6,,1.8000001,,2.0,3.1000001,2.5,
1907,6,16,3.6000001,2.5,2.6000001,,2.2,2.8,,2.7,3.9
1907,7,16,3.4,2.7,3.2,,2.1000001,2.6000001,3.4,3.0,
1907,8,16,2.3,,2.0,1.7,1.5,1.9,3.1000001,2.9,3.6000001
1907,9,16,,0.90000004,,,0.90000004,,2.0,2.0,2.7
1907,10,16,,,,,,0.6,,,1.7
1907,11,16,0.1,,,0.1,0.1,,0.5,0.7,0.90000004
1907,12,16,,,,0.1,0.1,,,,
1908,1,16,0.1,,,0.2,0.2,,,0.90000004,0.6
1908,2,15,,,,0.3,0.4,0.2,,,
1908,3,16,,,,0.5,,0.4,,1.1,1.3000001
1908,4,16,,,,,,,,1.4,2.3
1908,5,16,1.8000001,1.6,1.4,2.1000001,1.7,,3.1000001,2.4,
1908,6,16,,2.5,2.9,2.9,2.2,2.9,3.7,3.0,
1908,7,16,3.4,2.7,3.2,3.4,2.6000001,2.9,,,4.3
1908,8,16,2.3,,2.1000001,,1.7,2.2,3.1000001,,
1908,9,16,0.90000004,0.90000004,,0.90000004,0.90000004,1.1,2.0,,3.0
1908,10,16,,0.0,,0.4,0.4,,,1.3000001,1.7
1908,11,16,0.1,,,0.1,0.1,0.0,0.5,,
1908,12,16,,,,0.2,0.2,0.1,,,
1909,1,16,,,,0.2,0.2,0.1,,0.8,0.7
1909,2,15,0.0,,,0.3,0.3,0.1,,,0.7
1909,3,16,0.1,,,0.5,0.5,0.5,0.7,1.1,
1909,4,16,,0.7,0.4,1.2,0.90000004,1.0,1.9,1.9,
1909,5,16,1.8000001,1.6,1.1,1.8000001,1.5,1.9,3.0,,3.2
1909,6,16,3.6000001,2.4,2.5,3.2,2.6000001,,3.8,,
1909,7,16,3.4,2.8,3.3,3.4,2.6000001,,3.8,2.7,4.0
1909,8,16,2.2,1.9,2.0,1.8000001,,2.2,3.1000001,2.6000001,3.8
1909,9,16,0.90000004,0.90000004,0.7,1.0,1.0,,,,
1909,10,16,0.2,,,0.4,0.6,0.7,1.0,1.1,
1909,11,16,,,,0.3,0.2,0.0,,,
1909,12,16,0.1,,,0.2,0.3,0.1,0.2,0.6,
1910,1,16,,,,0.1,0.2,0.1,,,
1910,2,15,,,,0.2,0.2,0.3,0.4,,
1910,3,16,,,,0.3,0.3,0.7,,,
1910,4,16,,,0.4,0.90000004,0.7,,,1.5,
1910,5,16,2.0,,1.4,2.0,1.5,2.3,3.1000001,2.0,3.2
1910,6,16,3.5,2.5,,2.9,2.2,,3.7,,
1910,7,16,,2.7,,,2.1000001,,3.8,2.7,4.2000003
1910,8,16,,2.2,2.0,,,2.0,3.1000001,,3.8
1910,9,16,1.1,,,0.90000004,0.90000004,1.3000001,,1.6,2.8
1910,10,16,0.2,0.0,,0.4,0.5,,1.0,1.1,1.7
1910,11,16,,,0.1,0.1,0.2,,0.5,,
1910,12,16,,,,0.2,0.2,,,0.6,
1911,1,16,,,,0.3,0.2,0.1,,,0.6
1911,2,15,,,,0.1,,0.2,,,
1911,3,16,,,,0.5,0.5,0.7,,,
1911,4,16,0.8,,,,,,,1.7,
1911,5,16,1.7,,1.4,2.2,1.7,2.5,,2.1000001,3.3
1911,6,16,3.6000001,2.5,2.5,2.7,2.1000001,2.8,3.7,2.7,4.1
1911,7,16,3.6000001,2.6000001,3.2,2.7,2.1000001,2.8,3.8,3.7,
1911,8,16,2.3,,2.0,2.2,1.9,2.4,,3.0,
1911,9,16,1.2,0.90000004,,0.90000004,0.90000004,,,2.1000001,2.8
1911,10,16,,,,0.4,0.5,,,1.3000001,1.7
1911,11,16,0.1,,,0.2,0.2,0.2,0.3,,
1911,12,16,,,,0.1,0.2,,0.2,0.6,0.7
1912,1,16,,,,0.2,0.2,,0.1,,
1912,2,15,,,,0.1,,0.2,,0.90000004,
1912,3,16,,,,,0.3,0.7,0.7,1.2,
1912,4,16,0.8,0.7,0.6,1.3000001,1.0,,,,2.5
1912,5,16,2.0,,1.4,1.8000001,,,3.1000001,,3.2
1912,6,16,3.2,2.6000001,,3.1000001,,3.0,,2.7,4.1
1912,7,16,3.2,2.3,3.0,3.3,2.6000001,3.2,,3.0,4.2000003
1912,8,16,2.3,1.7,2.0,2.0,1.7,,2.7,2.1000001,
1912,9,16,1.1,,,,,1.1,,1.6,2.8
1912,10,16,,,0.0,,,0.3,0.8,,
1912,11,16,0.1,,,0.1,0.1,,0.5,0.7,1.1
1912,12,16,,,,0.1,0.2,0.1,0.2,0.6,
1913,1,16,,,,0.1,0.1,,0.1,0.6,
1913,2,15,,,,0.2,,0.2,,0.90000004,
1913,3,16,,,,0.5,0.5,0.7,,,1.3000001
1913,4,16,,,,,0.7,1.3000001,1.7,1.5,2.2
1913,5,16,2.1000001,,,,1.5,2.3,3.0,2.1000001,
1913,6,16,3.7,2.2,2.7,,,,3.7,,
1913,7,16,,,2.9,3.5,2.7,2.9,3.5,2.6000001,4.2000003
1913,8,16,2.2,,1.8000001,,1.7,,,,3.6000001
1913,9,16,,,,0.90000004,1.0,,,1.7,
1913,10,16,,,0.2,0.2,,,,,1.7
1913,11,16,,,,0.1,,,0.3,0.7,0.90000004
1913,12,16,,,,0.1,0.2,,,,
1914,1,16,,,,0.1,0.1,0.1,0.1,0.8,
1914,2,15,0.0,,,0.2,0.2,0.3,,,
1914,3,16,0.1,,,0.5,,,0.7,1.1,
1914,4,16,,,0.6,1.1,0.7,1.4,,1.8000001,
1914,5,16,2.0,1.4,1.4,1.8000001,1.5,2.3,3.0,1.9,
1914,6,16,3.7,2.2,2.5,,2.4,3.2,3.7,,4.2000003
1914,7,16,3.4,2.6000001,2.9,3.2,2.5,3.4,3.4,2.7,4.3
1914,8,16,2.2,1.6,2.1000001,1.7,1.5,2.2,3.0,2.6000001,
1914,9,16,,,,,0.90000004,,,,3.3
1914,10,16,,,,0.2,,0.4,1.0,1.1,1.7
1914,11,16,,,,0.1,0.1,,,,0.90000004
1914,12,16,0.1,,,0.1,0.2,0.2,,,
1915,1,16,,,,0.1,0.2,,0.1,0.6,
1915,2,15,,,,0.2,0.2,0.2,,0.7,0.7
1915,3,16,,,,,,0.5,,1.1,
1915,4,16,0.8,,0.6,,,1.3000001,,,
1915,5,16,2.2,,1.5,1.6,,,3.3,,3.3
1915,6,16,3.7,2.0,2.9,2.5,2.1000001,2.8,3.9,3.1000001,4.1
1915,7,16,3.6000001,2.6000001,3.4,3.1000001,2.5,,3.8,,
1915,8,16,2.2,1.5,2.1000001,1.6,1.4,2.0,,,
1915,9,16,,0.90000004,,0.7,,1.1,,,3.1000001
1915,10,16,0.2,0.2,,0.2,0.4,0.4,,1.0,1.9
1915,11,16,,,,0.1,0.1,,,,1.1
1915,12,16,,,,0.1,0.1,,,0.6,
1916,1,16,,,,0.2,0.1,,,0.6,
1916,2,15,,,,0.2,0.2,0.2,,,
1916,3,16,,,,0.5,,0.5,0.7,1.2,
1916,4,16,0.6,,,,0.7,,1.7,,2.5
1916,5,16,,1.4,1.2,1.5,1.2,,,,3.2
1916,6,16,3.6000001,2.2,,2.9,2.2,2.8,3.7,2.5,
1916,7,16,,2.6000001,2.9,3.6000001,2.7,3.0,,2.9,4.2000003
1916,8,16,2.2,1.6,,1.5,1.4,1.9,,2.5,3.9
1916,9,16,,,0.90000004,,0.90000004,1.1,,1.7,3.0
1916,10,16,0.2,,,0.2,,0.3,,1.1,
1916,11,16,,,0.1,0.1,0.1,0.2,,0.7,
1916,12,16,,,,0.1,0.2,0.1,0.2,,
1917,1,16,,,,0.1,0.1,,,,
1917,2,15,0.0,,,0.3,0.2,0.2,,0.90000004,
1917,3,16,,,,,,0.4,0.90000004,1.1,
1917,4,16,0.8,,,0.90000004,,1.0,,1.3000001,
1917,5,16,1.8000001,,1.5,1.7,,2.2,3.2,2.6000001,3.5
1917,6,16,,2.2,2.7,3.3,2.6000001,3.4,3.8,3.1000001,
1917,7,16,3.2,,3.2,,,,,3.0,
1917,8,16,2.4,1.6,1.8000001,2.3,2.0,2.4,2.8,,
1917,9,16,1.2,,,,0.90000004,,,2.1000001,3.0
1917,10,16,,,,,0.4,,0.8,1.1,
1917,11,16,0.1,,,,0.1,,,0.6,
1917,12,16,,,,0.1,0.1,,0.2,0.8,
1918,1,16,,,,0.2,0.1,0.1,,0.8,0.6
1918,2,15,,,,0.2,0.2,0.2,,,
1918,3,16,,,,0.6,0.5,0.7,,1.4,
1918,4,16,0.6,,,,0.7,1.1,,1.4,2.3
1918,5,16,1.7,1.4,1.1,,1.5,2.4,3.1000001,,3.2
1918,6,16,3.3,2.4,2.5,2.7,2.1000001,2.6000001,3.8,2.7,4.1
1918,7,16,3.7,,3.3,3.1000001,,2.8,3.7,,4.2000003
1918,8,16,,,2.0,1.8000001,,2.0,3.1000001,2.6000001,3.8
1918,9,16,1.3000001,0.90000004,0.90000004,,,1.1,2.0,1.9,3.0
1918,10,16,,,,,0.4,,,1.1,
1918,11,16,,,,0.2,0.2,,0.5,0.7,
1918,12,16,,,,0.1,0.2,,0.2,0.5,
1919,1,16,,,,0.1,0.1,,,,
1919,2,15,,,,0.2,0.2,0.2,,0.90000004,0.7
1919,3,16,,,,,,0.5,,1.2,1.3000001
1919,4,16,,,,0.90000004,,,,1.4,
1919,5,16,,1.4,,2.1000001,1.6,2.6000001,3.0,,3.2
1919,6,16,3.2,2.1000001,2.5,,2.4,2.8,,3.0,4.1
1919,7,16,3.4,,,3.3,2.7,3.3,,2.7,
1919,8,16,2.4,1.9,2.1000001,1.6,1.5,1.9,3.0,3.0,
1919,9,16,1.2,0.90000004,0.90000004,0.90000004,1.0,1.4,,2.1000001,2.8
1919,10,16,,,,,0.5,0.6,,1.1,
1919,11,16,,,,0.1,0.1,,0.5,,1.1
1919,12,16,0.1,,,0.1,0.2,,,0.6,
1920,1,16,,,,0.1,0.1,,,,0.6
1920,2,15,0.0,,,0.2,0.3,0.3,,0.90000004,
1920,3,16,,,,0.6,0.5,0.7,,1.4,1.3000001
1920,4,16,,0.90000004,,0.90000004,0.7,1.1,,1.4,2.3
1920,5,16,1.8000001,1.4,,2.1000001,1.7,2.3,3.0,2.4,3.0
1920,6,16,3.8,,2.6000001,2.8,,2.7,3.7,,3.9
1920,7,16,3.6000001,2.6000001,3.0,,2.2,2.8,,3.2,4.0
1920,8,16,2.2,1.9,2.0,1.8000001,,2.0,,,3.6000001
1920,9,16,1.1,0.90000004,0.7,0.90000004,0.90000004,,,1.7,2.7
1920,10,16,0.2,,,0.2,,,,,1.7
1920,11,16,,,,0.1,0.1,0.2,,,0.90000004
1920,12,16,,,,,0.1,,0.2,,
1921,1,16,,,,0.2,0.2,0.1,,0.6,
1921,2,15,,,,0.2,0.2,0.2,,,0.7
1921,3,16,,,,0.5,,0.8,,1.4,1.5
1921,4,16,,,,1.2,0.90000004,1.5,1.7,,
1921,5,16,1.8000001,,1.1,2.2,1.9,2.7,,2.4,
1921,6,16,3.7,2.5,2.5,2.8,2.2,2.8,3.7,2.9,3.8
1921,7,16,3.5,2.6000001,3.4,2.7,2.1000001,,3.8,3.7,
1921,8,16,2.4,1.9,,1.8000001,,,3.0,2.7,3.6000001
1921,9,16,1.1,0.90000004,,0.90000004,0.90000004,1.3000001,,2.0,
1921,10,16,0.2,,,,0.4,0.7,0.8,1.3000001,
1921,11,16,0.1,,,,,,,,
1921,12,16,,,,0.1,0.1,,,,
1922,1,16,,,,0.1,0.1,,,,
1922,2,15,,,,0.1,0.0,0.1,,0.90000004,
1922,3,16,,,,,,0.5,,1.2,
1922,4,16,,0.5,,,,1.1,,1.4,2.3
1922,5,16,1.8000001,,1.5,,1.6,2.3,3.1000001,2.5,
1922,6,16,,2.5,2.9,,2.4,,3.8,2.8,
1922,7,16,3.2,2.6000001,3.3,,2.2,2.8,3.9,3.0,
1922,8,16,2.2,,2.1000001,1.7,1.5,2.0,3.0,2.6000001,
1922,9,16,,,,0.90000004,0.90000004,,,1.6,3.0
1922,10,16,0.2,,,0.2,0.4,,,1.0,
1922,11,16,,,,0.2,0.1,0.2,,0.7,
1922,12,16,,,,0.1,0.1,,,0.6,
1923,1,16,,,,0.1,0.2,0.1,,0.6,
1923,2,15,0.0,,,0.1,,,,0.7,
1923,3,16,,,,,0.3,0.5,,1.1,
1923,4,16,,0.5,,0.90000004,0.7,1.1,,,2.3
1923,5,16,2.0,1.4,,1.6,1.3000001,1.9,,,
1923,6,16,3.6000001,2.4,2.6000001,2.1000001,1.8000001,2.2,3.9,2.4,3.9
1923,7,16,3.8,,3.2,,2.2,2.9,3.7,3.4,4.0
1923,8,16,2.4,,2.2,1.6,1.4,1.8000001,3.2,2.9,
1923,9,16,,0.90000004,0.90000004,,,1.1,2.0,2.0,2.8
1923,10,16,0.4,,,0.2,,0.4,,,
1923,11,16,,,0.1,0.1,0.2,,0.3,,1.1
1923,12,16,,,,0.1,0.2,,,,0.7
1924,1,16,,,,0.1,,,,,0.6
1924,2,15,0.0,,,0.2,0.2,0.1,,,
1924,3,16,,,,,,0.5,,1.2,1.3000001
1924,4,16,,0.5,,,,1.0,,1.5,2.3
1924,5,16,1.7,,1.5,1.6,,1.9,3.1000001,2.2,3.0
1924,6,16,,2.4,,2.3,1.8000001,2.5,,,3.9
1924,7,16,3.2,2.6000001,3.4,3.6000001,2.8,,3.9,3.0,
1924,8,16,,,2.0,2.2,1.9,,,2.2,
1924,9,16,,0.90000004,,1.0,1.0,1.3000001,1.8000001,,
1924,10,16,0.2,,,,,,0.8,1.1,
1924,11,16,,,,0.1,0.2,,0.3,0.7,
1924,12,16,,,,0.1,0.2,,,0.5,
1925,1,16,,,0.1,0.1,0.2,,0.1,0.6,0.6
1925,2,15,,,,0.2,0.2,0.2,,,
1925,3,16,0.3,,,,,0.5,0.7,1.0,
1925,4,16,0.8,,,1.1,,1.3000001,1.7,1.4,
1925,5,16,2.0,,1.2,1.8000001,,,2.7,2.0,3.2
1925,6,16,3.6000001,2.4,2.3,2.5,2.0,2.9,,3.0,4.1
1925,7,16,3.5,2.6000001,2.9,3.8,2.9,3.3,3.5,2.9,4.2000003
1925,8,16,2.4,,1.8000001,,,2.0,3.0,,
1925,9,16,1.2,,,,,1.1,,1.7,3.0
1925,10,16,,0.0,,,0.4,0.4,,,
1925,11,16,,,,0.1,0.1,,0.3,0.7,1.1
1925,12,16,,,,0.1,0.2,,,0.8,
1926,1,16,0.2,,,0.1,,,,,
1926,2,15,0.0,,,0.1,0.0,,,0.90000004,
1926,3,16,0.1,,,0.5,0.5,,0.90000004,1.1,1.5
1926,4,16,,0.5,0.6,,,1.1,,1.7,2.3
1926,5,16,,1.4,1.0,1.7,,1.7,2.8,2.0,
1926,6,16,3.8,2.1000001,2.3,2.9,2.2,2.6000001,3.8,2.4,3.9
1926,7,16,3.5,2.6000001,,3.2,2.6000001,3.0,3.7,2.8,4.0
1926,8,16,2.3,1.7,2.5,2.0,1.8000001,2.2,,2.7,3.8
1926,9,16,1.2,,0.7,,,1.1,,2.1000001,
1926,10,16,,,,0.2,0.4,0.3,1.0,1.3000001,
1926,11,16,,,,0.1,0.1,,,0.90000004,
1926,12,16,,,,0.1,0.1,,0.2,,
1927,1,16,,,,0.2,0.1,,,0.6,0.6
1927,2,15,0.0,,,0.2,0.2,0.2,,,
1927,3,16,,,,0.5,0.3,,,1.2,1.5
1927,4,16,,0.5,,0.90000004,,1.0,1.9,,2.3
1927,5,16,1.8000001,1.6,1.6,1.7,,1.7,3.1000001,2.5,
1927,6,16,3.7,2.4,2.7,2.8,2.2,2.4,3.7,2.9,
1927,7,16,3.8,2.4,2.8,3.4,2.6000001,3.1000001,,,4.2000003
1927,8,16,2.4,1.5,,,,2.0,3.0,2.5,
1927,9,16,0.90000004,,0.90000004,,,1.1,2.1000001,1.7,2.8
1927,10,16,,0.0,,0.2,0.4,0.4,,,
1927,11,16,,,0.1,,,0.0,0.5,,
1927,12,16,0.1,,,0.1,0.2,,0.2,,0.5
1928,1,16,,,,0.1,,,,,0.6
1928,2,15,,,,0.1,,0.1,,0.90000004,
1928,3,16,,,,0.5,,0.5,,1.2,1.3000001
1928,4,16,0.8,,,,,1.1,1.7,,2.3
1928,5,16,1.8000001,,,1.7,,2.0,3.0,2.0,3.2
1928,6,16,3.6000001,,2.6000001,2.4,1.8000001,2.3,3.8,3.0,
1928,7,16,3.6000001,2.3,3.3,2.4,1.9,2.3,,4.0,4.0
1928,8,16,2.2,1.7,2.2,,1.7,1.8000001,,2.7,3.6000001
1928,9,16,,,,,,,,2.0,2.8
1928,10,16,,,,,0.4,,1.0,1.3000001,
1928,11,16,,,0.1,0.1,,,,0.7,
1928,12,16,,,,0.1,0.1,,0.2,0.6,
1929,1,16,,,,0.2,0.2,0.1,,0.8,0.6
1929,2,15,0.0,,,0.1,0.0,,,1.1,0.7
1929,3,16,,,,0.6,0.6,0.8,0.90000004,,
1929,4,16,,,,,,1.0,2.0,,
1929,5,16,,1.6,,2.0,1.6,,2.8,2.4,3.2
1929,6,16,3.6000001,,2.7,2.9,,2.6000001,3.8,2.9,
1929,7,16,3.0,2.4,3.8,2.6000001,2.1000001,2.5,3.7,3.5,
1929,8,16,2.2,1.7,2.5,1.7,1.5,1.9,,2.8,
1929,9,16,1.2,0.6,1.2,,0.90000004,,,2.3,
1929,10,16,,,0.2,,0.4,,0.8,1.3000001,
1929,11,16,,,,0.1,0.1,0.2,0.3,0.90000004,
1929,12,16,,,,0.2,0.3,,0.2,,
1930,1,16,0.1,,,0.1,0.2,,,0.6,0.6
1930,2,15,,,,0.2,0.2,0.2,,,0.7
1930,3,16,,0.2,,0.5,,,,1.4,
1930,4,16,,,,0.90000004,0.6,1.1,1.6,1.5,2.2
1930,5,16,2.0,1.4,1.6,2.1000001,1.6,2.3,2.7,2.0,
1930,6,16,3.6000001,2.6000001,3.0,3.1000001,2.4,,3.9,3.3,
1930,7,16,3.6000001,2.7,3.4,3.6000001,2.8,3.0,3.5,2.9,4.2000003
1930,8,16,,1.9,,,,2.0,2.7,2.6000001,
1930,9,16,0.90000004,,1.0,,,1.0,1.8000001,,2.7
1930,10,16,,,,,,,,,1.7
1930,11,16,0.1,,,,0.1,0.2,0.3,,
1930,12,16,,,,0.1,,,,0.6,0.7
1931,1,16,,,,0.1,0.1,,,,0.6
1931,2,15,0.0,,,0.1,0.0,,,,
1931,3,16,,,,0.5,0.5,0.5,0.7,,1.5
1931,4,16,,,0.4,0.90000004,0.6,1.0,1.7,1.5,2.5
1931,5,16,1.7,1.7,,2.0,1.6,2.0,2.8,2.4,3.0
1931,6,16,3.6000001,2.6000001,2.6000001,2.1000001,1.6,2.4,3.9,3.3,3.9
1931,7,16,3.4,3.0,,3.1000001,2.4,2.6000001,,3.0,3.8
1931,8,16,2.0,1.9,2.0,,,2.0,3.2,2.3,
1931,9,16,,1.0,0.90000004,,0.90000004,1.1,2.0,1.6,
1931,10,16,,,,,0.4,,,1.4,1.9
1931,11,16,,,,,,0.0,,0.7,
1931,12,16,0.1,,,0.1,0.2,,0.2,0.6,
1932,1,16,0.1,,,0.2,0.3,0.1,0.1,0.5,
1932,2,15,,,,0.3,0.4,0.3,,0.7,0.7
1932,3,16,,,,0.5,,,,,
1932,4,16,0.8,,0.6,,,1.1,2.0,1.5,2.5
1932,5,16,,1.4,1.4,1.7,,,2.8,2.1000001,3.0
1932,6,16,3.3,2.4,2.7,2.6000001,2.1000001,2.6000001,,2.8,4.1
1932,7,16,3.4,2.8,3.3,3.1000001,2.5,3.0,3.8,2.8,4.2000003
1932,8,16,2.0,1.9,2.2,,1.7,2.2,2.8,3.1000001,3.6000001
1932,9,16,,1.1,1.0,,0.90000004,,,2.0,
1932,10,16,,,,0.1,,0.4,,1.3000001,
1932,11,16,0.1,,,0.1,0.1,,0.3,0.7,1.1
1932,12,16,0.1,,,0.1,0.3,0.1,,,0.7
1933,1,16,,,0.1,0.1,,,,,0.6
1933,2,15,,,,0.2,0.2,0.2,,0.90000004,
1933,3,16,0.3,,0.2,,0.3,,0.7,,
1933,4,16,0.8,,0.6,,,,1.9,1.8000001,2.1000001
1933,5,16,,1.3000001,1.0,1.8000001,1.5,,,2.0,3.2
1933,6,16,3.2,2.7,,3.4,2.6000001,3.2,3.7,2.5,
1933,7,16,,,3.2,3.1000001,2.4,3.0,3.7,3.3,4.2000003
1933,8,16,2.3,1.9,2.5,,,,3.1000001,3.0,3.6000001
1933,9,16,0.90000004,,0.6,,0.7,1.1,1.8000001,2.0,
1933,10,16,,,0.3,0.2,,,,1.3000001,
1933,11,16,,,0.1,,,,,,
1933,12,16,,,,0.1,0.3,,,0.8,
1934,1,16,,,,0.1,0.2,,0.1,0.6,0.7
1934,2,15,0.0,,0.3,0.3,0.3,0.3,0.2,0.7,
1934,3,16,0.3,,,,0.2,0.5,,1.2,1.3000001
1934,4,16,,,,,,,1.5,1.9,
1934,5,16,1.8000001,,,2.2,1.7,2.5,3.0,2.6000001,3.0
1934,6,16,,,2.7,2.8,,2.9,3.8,3.1000001,
1934,7,16,,3.0,3.3,3.3,2.5,,3.3,3.6000001,
1934,8,16,2.0,1.6,2.1000001,2.1000001,1.7,2.2,3.0,,
1934,9,16,1.1,0.90000004,1.0,0.90000004,0.90000004,1.4,1.7,2.1000001,2.8
1934,10,16,,,,,,,,,
1934,11,16,,,,0.1,0.1,0.2,,0.7,1.1
1934,12,16,,,0.1,0.1,0.1,,,0.5,
1935,1,16,,,,0.2,0.2,,,0.6,0.6
1935,2,15,0.0,,,0.1,,0.2,,,0.7
1935,3,16,0.3,,0.0,,,,,,1.5
1935,4,16,0.6,,0.4,0.90000004,0.7,1.1,1.7,1.4,2.1000001
1935,5,16,1.7,,1.7,1.6,1.3000001,1.9,,2.2,3.2
1935,6,16,,,2.8,2.9,,3.0,3.9,3.2,3.9
1935,7,16,3.5,2.8,3.3,3.0,2.4,2.8,3.7,3.6000001,
1935,8,16,2.0,1.7,2.1000001,2.0,1.7,,,2.7,3.6000001
1935,9,16,1.1,,1.0,0.7,0.7,1.0,2.0,2.0,2.8
1935,10,16,,0.0,0.2,0.2,,,,,1.7
1935,11,16,0.1,,0.1,0.1,,,0.5,0.7,
1935,12,16,,,,0.1,0.2,,0.2,,
1936,1,16,,,,,0.1,,,,0.6
1936,2,15,,,,0.3,0.2,0.1,0.2,,
1936,3,16,,,,0.3,0.3,0.5,0.7,,1.3000001
1936,4,16,0.8,,,0.7,0.7,1.0,1.5,,2.3
